Stock,Spy,Ticker,Sector,Group,#
http://real-chart.finance.yahoo.com/table.csv?s=MMM&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,MMM,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=PH&d=8&e=18&f=2014&g=d&a=5&b=24&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=18&f=2014&g=d&a=5&b=24&c=2014&ignore=.csv,PH,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=PAYX&d=7&e=13&f=2014&g=d&a=4&b=19&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=13&f=2014&g=d&a=4&b=19&c=2014&ignore=.csv,PAYX,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=AKAM&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,AKAM,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=ADP&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,ADP,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=FISV&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,FISV,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=HRS&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,HRS,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=IBM&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,IBM,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=MCHP&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,MCHP,Information Technology,2,#
http://real-chart.finance.yahoo.com/table.csv?s=BBBY&d=7&e=7&f=2014&g=d&a=4&b=13&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=7&f=2014&g=d&a=4&b=13&c=2014&ignore=.csv,BBBY,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=DRI&d=7&e=4&f=2014&g=d&a=4&b=8&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=4&f=2014&g=d&a=4&b=8&c=2014&ignore=.csv,DRI,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=FDO&d=7&e=21&f=2014&g=d&a=4&b=28&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=21&f=2014&g=d&a=4&b=28&c=2014&ignore=.csv,FDO,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=AMZN&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,AMZN,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=AN&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,AN,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=DHI&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,DHI,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=GM&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,GM,Consumer Discretionary,3,#
http://real-chart.finance.yahoo.com/table.csv?s=BBT&d=8&e=2&f=2014&g=d&a=5&b=6&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=2&f=2014&g=d&a=5&b=6&c=2014&ignore=.csv,BBT,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=CB&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,CB,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=CME&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,CME,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=CCI&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,CCI,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=BEN&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,BEN,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=GNW&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,GNW,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=HIG&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,HIG,Financials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=ALLE&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,ALLE,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=EMR&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,EMR,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=EXPD&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,EXPD,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=FLIR&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,FLIR,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=FLS&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,FLS,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=LLL&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,LLL,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=NOC&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,NOC,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=PCP&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,PCP,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=RTN&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,RTN,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=ROK&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,ROK,Industrials,3,#
http://real-chart.finance.yahoo.com/table.csv?s=ORCL&d=7&e=1&f=2014&g=d&a=4&b=7&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=1&f=2014&g=d&a=4&b=7&c=2014&ignore=.csv,ORCL,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=EBAY&d=7&e=27&f=2014&g=d&a=5&b=3&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=27&f=2014&g=d&a=5&b=3&c=2014&ignore=.csv,EBAY,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=EMC&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,EMC,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=GOOGL&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,GOOGL,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=JNPR&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,JNPR,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=KLAC&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,KLAC,Information Technology,3,#
http://real-chart.finance.yahoo.com/table.csv?s=MSFT&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,MSFT,Information Technology,3,#
